GTINShipDate,Quantity
1/10/2018,1
1/12/2018,1
1/14/2017,1
1/17/2018,1
1/2/2018,1
1/24/2018,1
1/25/2018,1
1/27/2017,1
1/3/2017,1
1/3/2018,1
1/30/2017,1
1/5/2017,1
10/18/2017,1
10/25/2017,1
10/4/2017,1
10/5/2017,1
11/1/2017,1
11/29/2017,1
11/8/2017,1
12/13/2017,1
12/27/2017,1
12/28/2016,1
12/29/2017,1
12/6/2017,1
2/13/2017,1
2/14/2018,1
2/20/2017,1
2/21/2018,1
2/22/2017,1
2/7/2018,1
3/14/2018,1
3/21/2017,1
3/21/2018,1
3/28/2017,1
3/28/2018,1
3/29/2017,1
3/31/2016,1
3/7/2016,1
3/7/2018,1
4/12/2017,1
4/19/2017,1
4/5/2017,1
5/16/2017,1
5/24/2017,1
5/31/2017,1
5/4/2017,1
6/14/2017,1
6/16/2016,1
6/21/2017,1
6/28/2016,1
6/28/2017,1
6/7/2017,1
7/12/2017,1
7/18/2016,1
7/19/2017,1
7/21/2016,1
7/26/2017,1
7/5/2017,1
7/7/2016,1
7/7/2017,1
8/15/2016,1
8/16/2017,1
8/2/2017,1
8/23/2017,1
8/30/2017,1
8/8/2016,1
8/9/2016,1
8/9/2017,1
9/13/2017,1
9/18/2017,1
9/27/2017,1
9/6/2017,1
9/7/2017,1
